
Most frequent decisions by invserse order
RANK | DECISION ID | RELATOR | VIRTUAL | NUMBER OF OCCURANCES | TIMES REMOVED
 100   | ADI 1903  | RICARDO LEWANDOWSKI | N | 6 | 2
 101   | ADI 2220  | CÁRMEN LÚCIA        | N | 6 | 2
 102   | ADI 1921  | CARLOS VELLOSO      | N | 6 | 2
 103   | ADI 2031  | ELLEN GRACIE        | N | 6 | 0
 104   | ADI 3826  | EROS GRAU           | N | 5 | 2
 105   | RE 418918 | ELLEN GRACIE        | N | 5 | 0
 106   | RCL 7569  | ELLEN GRACIE        | N | 4 | 2
 107   | ADI 3305  | EROS GRAU           | N | 4 | 1
 108   | ADI 1721  | CARLOS BRITTO       | N | 4 | 1
 109   | ADI 4369  | MARCO AURÉLIO       | N | 4 | 0
 110   | ADI 1007  | EROS GRAU           | N | 4 | 0
 111   | ADI 2225  | DIAS TOFFOLI        | N | 4 | 0
 112   | RE 313382 | MAURÍCIO CORRÊA     | N | 3 | 2
 113   | HC 85185  | CEZAR PELUSO        | N | 3 | 1
 114   | EXT 793   | MAURÍCIO CORRÊA     | N | 3 | 0
 115   | RE 419075 | MARCO AURÉLIO       | N | 3 | 0
 116   | EXT 814   | MOREIRA ALVES       | N | 2 | 3
 117   | ADI 3323  | JOAQUIM BARBOSA     | N | 2 | 2
 118   | HC 81288  | MAURÍCIO CORRÊA     | N | 2 | 1
 119   | MS 24742  | MARCO AURÉLIO       | N | 2 | 1
 120   | RE 388359 | MARCO AURÉLIO       | N | 2 | 1
 121   | ADI 1942  | EDSON FACHIN        | N | 2 | 1
 122   | RE 567454 | CARLOS BRITTO       | N | 2 | 1
 123   | ADI 1972  | TEORI ZAVASCKI      | N | 2 | 0
 124   | HC 81409  | NELSON JOBIM        | S | 2 | 0
 125   | RE 255858 | ILMAR GALVÃO        | N | 2 | 0
 126   | ADI 2424  | GILMAR MENDES       | N | 2 | 0
 127   | HC 102826 | CELSO DE MELLO      | S | 2 | 0
 128   | HC 103826 | CELSO DE MELLO      | S | 2 | 0

stf_pr_2_acordaos
Number of decisions which appear on simulations: 175
Number of items whose frequency is higher than 1: 128
Number of decisions which could be in all iterations: 60
decisões que aparecem pelo menos 10 vezes | 27
decisões que aparecem pelo menos 9 vezes | 55
decisões que aparecem pelo menos 8 vezes | 83
140

